Day_of_Week_and_Hour,cluster,Lat,Lon,Day_of_Month,Week_Number,Hour,nb_pickups
Tuesday_15_hrs,0,40.75653870967742,-73.97771612903226,18.161290322580644,16.451612903225808,15.0,31
Tuesday_15_hrs,13,40.7754,-73.96090000000001,14.533333333333333,15.933333333333334,15.0,15
Tuesday_15_hrs,9,40.741506666666666,-73.99889333333334,18.266666666666666,16.466666666666665,15.0,15
Tuesday_15_hrs,10,40.76519285714286,-73.98630714285714,21.0,16.857142857142858,15.0,14
Tuesday_15_hrs,1,40.72382,-73.99553999999999,16.4,16.2,15.0,10
Tuesday_15_hrs,6,40.771966666666664,-73.86813333333333,8.0,15.0,15.0,3
Tuesday_15_hrs,19,40.710877777777775,-74.01122222222222,18.88888888888889,16.555555555555557,15.0,9
Tuesday_15_hrs,16,40.68194,-73.98848000000001,16.4,16.2,15.0,5
Tuesday_16_hrs,1,40.72551666666667,-74.00184166666666,19.083333333333332,16.583333333333332,16.0,12
Tuesday_16_hrs,16,40.6802,-73.99095,1.0,14.0,16.0,2
Tuesday_16_hrs,13,40.77951176470589,-73.96167647058824,17.058823529411764,16.294117647058822,16.0,17
Tuesday_16_hrs,19,40.71194285714286,-74.00687857142857,13.0,15.714285714285714,16.0,14
Tuesday_16_hrs,9,40.743100000000005,-73.99223928571428,18.75,16.535714285714285,16.0,28
Tuesday_16_hrs,3,40.88015,-73.91035,4.5,14.5,16.0,2
Tuesday_16_hrs,6,40.771699999999996,-73.8679,9.75,15.25,16.0,4
Tuesday_16_hrs,0,40.7568,-73.97598913043478,18.347826086956523,16.47826086956522,16.0,46
Tuesday_17_hrs,0,40.755161538461536,-73.97549615384615,14.057692307692308,15.865384615384615,17.0,52
Tuesday_17_hrs,5,40.6938,-74.17823333333332,10.333333333333334,15.333333333333334,17.0,3
Tuesday_17_hrs,1,40.72603125,-73.998675,15.0,16.0,17.0,16
Tuesday_17_hrs,4,40.633833333333335,-73.95986666666666,3.3333333333333335,14.333333333333334,17.0,3
Tuesday_17_hrs,13,40.7763875,-73.96233125,19.8125,16.6875,17.0,16
Tuesday_17_hrs,7,40.71801428571428,-73.95142857142858,11.0,15.428571428571429,17.0,7
Tuesday_17_hrs,19,40.71157777777778,-74.01185555555556,16.555555555555557,16.22222222222222,17.0,18
Tuesday_17_hrs,9,40.745242857142856,-73.99823928571428,17.75,16.392857142857142,17.0,28
Tuesday_17_hrs,10,40.76307857142857,-73.9842357142857,19.5,16.642857142857142,17.0,14
Tuesday_18_hrs,16,40.68148333333334,-73.98271666666666,12.666666666666666,15.666666666666666,18.0,6
Tuesday_18_hrs,1,40.72527272727273,-73.99630454545455,15.636363636363637,16.09090909090909,18.0,22
Tuesday_18_hrs,0,40.75631764705882,-73.97631470588236,17.470588235294116,16.352941176470587,18.0,34
Tuesday_18_hrs,9,40.74281071428572,-73.99518571428572,16.75,16.25,18.0,28
Tuesday_18_hrs,10,40.75765,-73.98913,19.2,16.6,18.0,10
Tuesday_18_hrs,13,40.77599,-73.96029999999999,22.0,17.0,18.0,10
Tuesday_19_hrs,1,40.726866666666666,-73.99974444444445,16.166666666666668,16.166666666666668,19.0,18
Tuesday_19_hrs,0,40.756474999999995,-73.97557499999999,15.38888888888889,16.055555555555557,19.0,36
Tuesday_19_hrs,6,40.7723,-73.86903333333333,3.3333333333333335,14.333333333333334,19.0,3
Tuesday_19_hrs,13,40.769016666666666,-73.952,17.333333333333332,16.333333333333332,19.0,6
Tuesday_19_hrs,16,40.6877,-73.98994,12.2,15.6,19.0,5
Tuesday_19_hrs,2,40.65315,-73.81595,15.0,16.0,19.0,2
Tuesday_19_hrs,19,40.71459166666667,-74.00858333333333,15.583333333333334,16.083333333333332,19.0,12
Tuesday_19_hrs,9,40.743491666666664,-73.99514166666667,18.5,16.5,19.0,24
Tuesday_20_hrs,19,40.71383,-74.00883,17.1,16.3,20.0,10
Tuesday_20_hrs,2,40.6485,-73.78305,4.5,14.5,20.0,2
Tuesday_20_hrs,1,40.72701176470588,-73.99348235294119,19.11764705882353,16.58823529411765,20.0,17
Tuesday_20_hrs,0,40.75685,-73.977945,14.65,15.95,20.0,20
Tuesday_20_hrs,9,40.743675,-73.9976,15.0,16.0,20.0,20
Tuesday_20_hrs,10,40.76253333333333,-73.98297333333333,15.933333333333334,16.133333333333333,20.0,15
Tuesday_21_hrs,0,40.75651428571429,-73.97516666666667,15.0,16.0,21.0,21
Tuesday_21_hrs,13,40.779,-73.97206666666666,10.333333333333334,15.333333333333334,21.0,3
Tuesday_21_hrs,1,40.7254619047619,-73.9956,17.0,16.285714285714285,21.0,21
Tuesday_21_hrs,9,40.741265,-73.99965999999999,21.65,16.95,21.0,20
Tuesday_21_hrs,16,40.68471666666667,-73.98245,16.166666666666668,16.166666666666668,21.0,6
Tuesday_21_hrs,19,40.71422857142857,-74.00832857142858,16.0,16.142857142857142,21.0,7
Tuesday_21_hrs,10,40.76334,-73.98498,16.4,16.2,21.0,5
Tuesday_21_hrs,7,40.723725,-73.960375,18.5,16.5,21.0,4
Tuesday_22_hrs,1,40.727199999999996,-73.99833,14.3,15.9,22.0,20
Tuesday_22_hrs,19,40.71779090909091,-74.00978181818182,10.545454545454545,15.363636363636363,22.0,11
Tuesday_22_hrs,16,40.678125,-73.97807499999999,15.0,16.0,22.0,4
Tuesday_22_hrs,7,40.720499999999994,-73.955,12.666666666666666,15.666666666666666,22.0,3
Tuesday_22_hrs,0,40.7528375,-73.973025,15.0,16.0,22.0,8
Tuesday_23_hrs,1,40.72488571428572,-73.99517142857142,15.0,16.0,23.0,7
Tuesday_23_hrs,0,40.75586666666667,-73.97616666666666,8.0,15.0,23.0,3
Tuesday_23_hrs,13,40.77855,-73.959575,15.0,16.0,23.0,4
Wednesday_0_hrs,13,40.777033333333335,-73.95366666666666,11.333333333333334,15.333333333333334,0.0,3
Wednesday_0_hrs,1,40.726175,-73.99355,16.0,16.0,0.0,4
